Model,Accuracy mean %,Precision mean %,Recall mean %,F1 Score mean %,Features
Decision Tree,77.13793103,77.84852402,73.02197802,74.18491007,"['cp', 'oldpeak', 'slope']"
Decision Tree,80.20689655,88.18772894,67.41758242,74.91890952,"['cp', 'oldpeak', 'ca']"
Decision Tree,77.54022989,82.85803412,67.41758242,73.14531061,"['cp', 'oldpeak', 'thal']"
Decision Tree,78.82758621,86.22979798,68.9010989,74.3725233,"['cp', 'slope', 'ca']"
Decision Tree,79.14942529,78.34883499,79.78021978,77.80560166,"['cp', 'slope', 'thal']"
Decision Tree,85.24137931,87.8996004,79.78021978,83.1027269,"['cp', 'ca', 'thal']"
Decision Tree,50.50574713,45.89618715,29.28571429,34.97028364,"['trestbps', 'chol', 'fbs']"
Decision Tree,57.90804598,64.22619048,30.54945055,40.00735931,"['trestbps', 'chol', 'restecg']"
Decision Tree,70.02298851,71.29030692,60.43956044,64.83606561,"['trestbps', 'chol', 'thalach']"
Decision Tree,69.72413793,74.44269619,55.43956044,62.30607086,"['trestbps', 'chol', 'exang']"
Decision Tree,68,67.08481714,60.49450549,62.8204745,"['trestbps', 'chol', 'oldpeak']"
Decision Tree,66.02298851,64.22091715,62.96703297,62.16101958,"['trestbps', 'chol', 'slope']"
Decision Tree,70.3908046,68.12462537,67.30769231,67.07378332,"['trestbps', 'chol', 'ca']"
Decision Tree,75.44827586,73.96042193,72.36263736,72.83382635,"['trestbps', 'chol', 'thal']"
Decision Tree,57.56321839,53.30154486,62.69230769,56.86052227,"['trestbps', 'fbs', 'restecg']"
Decision Tree,70.01149425,71.85054162,60.43956044,65.01945174,"['trestbps', 'fbs', 'thalach']"
Decision Tree,70.06896552,73.06968032,56.26373626,62.84679298,"['trestbps', 'fbs', 'exang']"
Decision Tree,65.63218391,66.67378455,57.03296703,59.99272858,"['trestbps', 'fbs', 'oldpeak']"
Decision Tree,69.68965517,66.19612332,72.41758242,68.83430737,"['trestbps', 'fbs', 'slope']"
Decision Tree,72.05747126,70.02075702,70.27472527,69.21723681,"['trestbps', 'fbs', 'ca']"
Decision Tree,75.47126437,74.39752404,72.41758242,72.89175102,"['trestbps', 'fbs', 'thal']"
Decision Tree,70.01149425,71.85054162,60.43956044,65.01945174,"['trestbps', 'restecg', 'thalach']"
Decision Tree,73.08045977,76.56166056,62.69230769,67.876961,"['trestbps', 'restecg', 'exang']"
Decision Tree,65.96551724,67.25253913,57.03296703,60.29011957,"['trestbps', 'restecg', 'oldpeak']"
Decision Tree,67,62.64585578,73.13186813,67.13964958,"['trestbps', 'restecg', 'slope']"
